childSiret;parentSiret;parentAdmin
82384713200029;52929577600015;Oui
39428016800011;52929577600015;Oui
75092104100026;53844935600020;Oui
43678021700028;75720010000027;Oui
54625022600026;75720010000027;Oui
45520300000019;75720010000027;Oui
44478403700020;48310030100033;Oui
53224105600029;42395306600010;Oui
48005729800014;05750287000021;Oui
44782950800020;30942263200021;Oui
41026927800017;77558681100132;Oui
44171650300020;34249639500027;Oui
42132139900030;53445511800032;Oui
83336965500190;53445511800032;Oui
37638001000011;63622022000017;Oui
39946423900025;63622022000017;Oui
45054475400028;63622022000017;Oui
48768155300045;63622022000017;Oui
50042760400037;63622022000017;Oui
